Voltage U1	Corriente IA
U1/V	IA/nA

0,02	0,32
0,04	0,31
0,07	0,32
0,09	0,31
0,12	0,29
0,14	0,29
0,17	0,29
0,19	0,28
0,21	0,27
0,24	0,26
0,26	0,27
0,29	0,26
0,31	0,25
0,34	0,25
0,36	0,25
0,39	0,25
0,41	0,24
0,43	0,23
0,46	0,23
0,48	0,24
0,51	0,23
0,53	0,23
0,56	0,24
0,58	0,24
0,61	0,24
0,63	0,23
0,65	0,24
0,68	0,24
0,70	0,24
0,73	0,23
0,75	0,24
0,78	0,24
0,80	0,24
0,83	0,24
0,85	0,24
0,87	0,24
0,90	0,23
0,92	0,23
0,95	0,23
0,97	0,23
1,00	0,23
1,02	0,24
1,05	0,24
1,07	0,24
1,09	0,24
1,12	0,25
1,14	0,25
1,17	0,25
1,19	0,25
1,22	0,25
1,24	0,26
1,26	0,26
1,29	0,25
1,31	0,26
1,34	0,27
1,36	0,26
1,39	0,26
1,41	0,26
1,44	0,27
1,46	0,27
1,48	0,26
1,51	0,28
1,53	0,29
1,56	0,28
1,58	0,28
1,61	0,28
1,63	0,29
1,66	0,28
1,68	0,27
1,70	0,28
1,73	0,28
1,75	0,28
1,78	0,27
1,80	0,29
1,83	0,29
1,85	0,28
1,88	0,27
1,90	0,28
1,92	0,29
1,95	0,28
1,97	0,28
2,00	0,29
2,02	0,30
2,05	0,30
2,07	0,30
2,10	0,31
2,12	0,31
2,14	0,31
2,17	0,30
2,19	0,32
2,22	0,33
2,24	0,33
2,27	0,33
2,29	0,34
2,31	0,35
2,34	0,35
2,36	0,35
2,39	0,36
2,41	0,37
2,44	0,36
2,46	0,37
2,49	0,38
2,51	0,39
2,53	0,40
2,56	0,40
2,58	0,41
2,61	0,42
2,63	0,41
2,66	0,42
2,68	0,42
2,71	0,42
2,73	0,43
2,75	0,44
2,78	0,46
2,80	0,46
2,83	0,46
2,85	0,46
2,88	0,47
2,90	0,46
2,93	0,46
2,95	0,47
2,97	0,49
3,00	0,49
3,02	0,48
3,05	0,50
3,07	0,50
3,10	0,50
3,12	0,50
3,15	0,51
3,17	0,52
3,19	0,52
3,22	0,52
3,24	0,54
3,27	0,55
3,29	0,54
3,32	0,54
3,34	0,56
3,36	0,57
3,39	0,56
3,41	0,56
3,44	0,57
3,46	0,58
3,49	0,57
3,51	0,58
3,54	0,59
3,56	0,60
3,58	0,59
3,61	0,59
3,63	0,60
3,66	0,61
3,68	0,61
3,71	0,61
3,73	0,63
3,76	0,64
3,78	0,63
3,80	0,63
3,83	0,64
3,85	0,65
3,88	0,64
3,90	0,64
3,93	0,65
3,95	0,67
3,98	0,67
4,00	0,66
4,02	0,68
4,05	0,68
4,07	0,68
4,10	0,67
4,12	0,68
4,15	0,69
4,17	0,69
4,20	0,69
4,22	0,71
4,24	0,71
4,27	0,72
4,29	0,72
4,32	0,72
4,34	0,73
4,37	0,72
4,39	0,73
4,42	0,74
4,44	0,74
4,46	0,74
4,49	0,75
4,51	0,76
4,54	0,76
4,56	0,76
4,59	0,76
4,61	0,77
4,63	0,77
4,66	0,77
4,68	0,78
4,71	0,79
4,73	0,79
4,76	0,79
4,78	0,80
4,81	0,81
4,83	0,80
4,85	0,80
4,88	0,81
4,90	0,82
4,93	0,82
4,95	0,82
4,98	0,84
5,00	0,85
5,03	0,84
5,05	0,84
5,07	0,85
5,10	0,86
5,12	0,86
5,15	0,86
5,17	0,88
5,20	0,88
5,22	0,88
5,25	0,88
5,27	0,89
5,29	0,89
5,32	0,88
5,34	0,87
5,37	0,89
5,39	0,90
5,42	0,90
5,44	0,90
5,47	0,91
5,49	0,92
5,51	0,92
5,54	0,91
5,56	0,93
5,59	0,93
5,61	0,92
5,64	0,93
5,66	0,94
5,68	0,95
5,71	0,94
5,73	0,94
5,76	0,95
5,78	0,96
5,81	0,96
5,83	0,95
5,86	0,96
5,88	0,97
5,90	0,97
5,93	0,97
5,95	0,98
5,98	0,99
6,00	0,99
6,03	0,99
6,05	0,99
6,08	1,00
6,10	0,99
6,12	1,00
6,15	1,01
6,17	1,01
6,20	1,01
6,22	1,02
6,25	1,02
6,27	1,02
6,30	1,02
6,32	1,02
6,34	1,04
6,37	1,04
6,39	1,05
6,42	1,05
6,44	1,06
6,47	1,05
6,49	1,05
6,52	1,06
6,54	1,07
6,56	1,06
6,59	1,07
6,61	1,07
6,64	1,08
6,66	1,07
6,69	1,07
6,71	1,09
6,73	1,10
6,76	1,08
6,78	1,08
6,81	1,10
6,83	1,10
6,86	1,10
6,88	1,10
6,91	1,12
6,93	1,12
6,95	1,11
6,98	1,11
